
## 큰 1번 문제 (5점)
**용어 문제로, 한글은 영어로, 영어는 한글로 답하는 단답형 문제입니다. (각 0.5점 × 10문항)**

| 번호 | 문제 | 답안 |
|---|---|---|
| 1 | 스마트팩토리 | Smart Factory |
| 2 | Public Sector | 공공부문 |
| 3 | 디지털 전환 | Digital Transformation (DX) |
| 4 | Platform Company | 플랫폼 기업 |
| 5 | 제조실행시스템 | Manufacturing Execution System (MES) |
| 6 | Welfare | 후생 |
| 7 | 인공지능 | Artificial Intelligence (AI) |
| 8 | Sustainable Development Goals | 지속가능발전목표 |
| 9 | 풀필먼트 서비스 | Fulfillment Service |
| 10 | Artificial Intelligence | 인공지능 |

---

## 큰 2번 문제 (10점)
**제시된 용어의 개념이나 정의를 간단히 서술하시오. (각 1점 × 10문항)**

| 번호 | 문제 | 모범 답안 |
|---|---|---|
| 1 | 트윈 트랜지션이란? | 디지털 전환과 녹색 전환이 동시에 이루어지는 현상으로, 디지털 기술이 녹색 기술 혁신과 기후 대응을 지원하고, 녹색 기술이 디지털화로 인한 에너지 수요 증가에 대응하는 것을 의미한다. |
| 2 | 풀필먼트 서비스란? | 판매자가 상품 검수, 분류, 포장, 배송, 반품 등 물류 및 배송의 전 과정을 일괄적으로 대행해주는 서비스이다. |
| 3 | 디지털트윈이란? | 실제 사물이나 시스템을 가상 공간에 모델링하여 시뮬레이션하고, 공정 최적화나 성능 모니터링 등에 활용하는 기술이다. |
| 4 | 플랫폼 기업이란? | 사용자와 공급자를 연결하는 중개 역할을 하며, 다양한 서비스와 상품을 거래할 수 있도록 하는 기업을 의미한다. |
| 5 | 머신러닝(ML)이란? | 인공지능의 한 분야로, 데이터를 기반으로 학습하여 스스로 성능을 향상시키는 알고리즘과 기술을 의미한다. |
| 6 | 제조실행시스템(MES)이란? | 공장의 모든 생산 활동을 실시간으로 감시·관리하는 시스템으로, 생산 현장의 운영 효율성을 높여준다. |
| 7 | 스마트시티란? | 정보통신기술(ICT)을 활용하여 도시의 문제를 해결하고, 시민의 삶의 질을 향상시키며, 지속가능한 도시 환경을 구현하는 미래 도시를 의미한다. |
| 8 | 스테이블 코인이란? | 가격 변동성을 최소화하기 위해 달러, 유로, 금 등 특정 자산이나 알고리즘에 가치가 연동되도록 설계된 가상화폐의 한 종류이다. |
| 9 | 지능형교통시스템(ITS)이란? | 교통수단 및 시설에 전자, 제어, 통신 등 첨단 교통 기술을 접목하여 교통 운영과 관리를 과학화·자동화하는 미래형 스마트 교통체계이다. |
| 10 | OECD 고잉 디지털 프로젝트란? | 디지털 전환 시대에 국가들이 현명하고 포괄적으로 정책을 설계할 수 있도록 지원하는 OECD 주도의 국제 협력 프로젝트이다. |
